SimUID,CROP,YR,ROT,FER,IRR,WTH,TIL,YLD_DM,FTN
52338,WWHT,2062,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.748,180.4
52338,SGBT,2063,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,11.605,150.2
52338,SBAR,2064,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.849,123.5
52338,WWHT,2065,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.456,180.4
52338,WWHT,2078,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.419,180.4
52338,WWHT,2066,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.293,180.4
52338,SGBT,2067,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,9.455,150.2
52338,SBAR,2068,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.591,123.5
52338,WWHT,2069,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.744,180.4
52338,WWHT,2070,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.959,180.4
52338,SGBT,2071,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,11.188,150.2
52338,SBAR,2072,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.354,123.5
52338,WWHT,2073,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.2,180.4
52338,WWHT,2074,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.026,180.4
52338,SGBT,2075,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,10.126,150.2
52338,SBAR,2076,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.971,123.5
52338,WWHT,2077,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.255,180.4
52338,SGBT,2091,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,10.536,150.2
52338,SGBT,2079,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,10.227,150.2
52338,SBAR,2080,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.762,123.5
52338,WWHT,2081,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.263,180.4
52338,WWHT,2082,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.964,180.4
52338,SGBT,2083,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.059,150.2
52338,SBAR,2084,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.583,123.5
52338,WWHT,2085,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.91,180.4
52338,WWHT,2086,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.778,180.4
52338,SGBT,2087,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,11.534,150.2
52338,SBAR,2088,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.656,123.5
52338,WWHT,2089,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.957,180.4
52338,WWHT,2090,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.625,180.4
52338,SGBT,2095,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,12.797,150.2
52338,SBAR,2092,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.575,123.5
52338,WWHT,2093,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.586,180.4
52338,WWHT,2094,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.599,180.4
52338,SGBT,2099,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,9.539,150.2
52338,SBAR,2096,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.512,123.5
52338,WWHT,2097,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,8.528,180.4
52338,WWHT,2098,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.514,180.4
52338,SBAR,2100,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,6.499,123.5
52339,SBAR,2020,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.793,123.5
52339,SBAR,2056,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,5.66,123.5
52339,WWHT,2057,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.601,180.4
52339,WWHT,2058,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,7.082,180.4
52339,SGBT,2059,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,11.607,150.2
52339,SBAR,2060,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,3.907,123.5
52339,WWHT,2021,CRS1,BAU,rf,cmip6_ipsl_ssp585,contill_bau,4.678,180.4
